author,genus,species,dist_salix
K,Betula,pubescens,240
P,Pinus,sylvestris,122
K,Betula,pubescens,90
P,Betula,pubescens,133
P,Betula,pubescens,273
P,Betula,pubescens,296
K,Betula,pubescens,320
P,Betula,pubescens,56
P,Betula,pubescens,94
P,Betula,pubescens,160
P,Betula,pubescens,180
P,Betula,pubescens,203
P,Betula,pubescens,220
P,Betula,pubescens,274
P,Betula,pubescens,276
P,Betula,pubescens,280
P,Betula,pubescens,342
P,Pinus,sylvestris,320
P,Pinus,sylvestris,450
K,Betula,pubescens,50
K,Betula,pubescens,120
K,Betula,pubescens,150
K,Betula,pubescens,160
K,Betula,pubescens,160
P,Betula,pubescens,99
P,Betula,pubescens,105
P,Betula,pubescens,257
P,Betula,pubescens,297
P,Betula,pubescens,370
K,Betula,pubescens,120
K,Betula,pubescens,165
K,Betula,pubescens,175
K,Betula,pubescens,190
K,Betula,pubescens,193
P,Betula,pubescens,80
P,Betula,pubescens,81
P,Betula,pubescens,84
P,Betula,pubescens,101
P,Betula,pubescens,114
P,Betula,pubescens,385
K,Betula,pubescens,50
K,Betula,pubescens,115
K,Betula,pubescens,130
K,Betula,pubescens,130
P,Betula,pubescens,30
P,Pinus,sylvestris,290
P,Betula,pubescens,63
P,Betula,pubescens,95
P,Betula,pubescens,116
P,Betula,pubescens,130
P,Betula,pubescens,130
P,Betula,pubescens,209
P,Betula,pubescens,253
P,Betula,pubescens,270
P,Betula,pubescens,310
P,Betula,pubescens,523
P,Pinus,sylvestris,14
P,Pinus,sylvestris,110
P,Pinus,sylvestris,674
K,Betula,pubescens,37
K,Betula,pubescens,100
K,Betula,pubescens,210
K,Betula,pubescens,260
K,Betula,pubescens,268
K,Betula,pubescens,300
P,Betula,pubescens,70
P,Betula,pubescens,79
P,Betula,pubescens,98
P,Betula,pubescens,197
P,Betula,pubescens,374
K,Pinus,sylvestris,265
P,Pinus,sylvestris,67
P,Pinus,sylvestris,69
P,Pinus,sylvestris,155
P,Pinus,sylvestris,155
P,Pinus,sylvestris,264
P,Pinus,sylvestris,343
K,Betula,pubescens,5
K,Betula,pubescens,28
K,Betula,pubescens,90
K,Betula,pubescens,150
K,Betula,pubescens,175
K,Betula,pubescens,185
K,Betula,pubescens,235
P,Betula,pubescens,119
P,Betula,pubescens,228
P,Betula,pubescens,54
P,Betula,pubescens,62
P,Betula,pubescens,68
P,Betula,pubescens,73
P,Betula,pubescens,90
P,Betula,pubescens,107
P,Betula,pubescens,126
P,Betula,pubescens,230
P,Betula,pubescens,290
P,Betula,pubescens,365
P,Pinus,sylvestris,20
K,Betula,pubescens,34
K,Betula,pubescens,70
K,Betula,pubescens,95
K,Betula,pubescens,110
K,Betula,pubescens,124
K,Betula,pubescens,125
K,Pinus,sylvestris,200
